animeTitle	b'Mini Van Large'
animeType	b'ONA'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'The stage is set on a moon of Planet Cray, ""Aniversario."" To develop the moon, Selca summons Aichi, Chrono and friends. A large undertaking by familiar vanguard characters!\n\n(Source: Official Site)'"
animeRelated	[b'Mini Van']
animeCharacters	[b'Sendou, Aichi', b'Shindou, Chrono', b'Anjou, Tokoha', b'Sendou, Emi', b'Nitta, Shin', b'Selca']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nNishiyama, Tsukasa\n\nDirector\n\n', b'\nTakadera, Takeshi\n\nSound Director\n\n', b'\nNakajima, Naotoshi\n\nScript, Series Composition\n\n', b'\nQuily\n\nOriginal Creator\n\n']
