animeTitle	Curry Meshi in Miracle
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17170
animeDescription	"An unprecedented, over-the-top collaboration between Nissin Curry Meshi and hololive has become a reality!

This is the music video for the original song, Curry Meshi in Miracle, sung by Spice Love (Oozora Subaru, Minato Aqua, Usada Pekora)

(Source: Official Hololive YouTube channel)"
animeRelated	['Holo no Graffiti']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
