animeTitle	Hibike! Euphonium: Suisougaku-bu no Nichijou
animeType	Special
animeNumEpisode	7
releaseDate	
endDate	
animeNumMembers	
animeScore	6.8
animeUsers	12746
animeRank	
animePopularity	3380
animeDescription	Short specials included in the Blu-ray/DVD releases.
animeRelated	['Hibike! Euphonium']
animeCharacters	['Oumae, Kumiko', 'Kousaka, Reina', 'Katou, Hazuki', 'Kawashima, Sapphire', 'Tanaka, Asuka', 'Nakagawa, Natsuki', 'Tsukamoto, Shuuichi', 'Taki, Noboru', 'Gotou, Takuya', 'Kawashima, Kohaku']
animeVoices	['Kurosawa, Tomoyo', 'Anzai, Chika', 'Asai, Ayaka', 'Toyota, Moe', 'Kotobuki, Minako', 'Fujimura, Konomi', 'Ishiya, Haruki', 'Sakurai, Takahiro', 'Tsuda, Kenjirou', 'Chisuga, Haruka']
animeStaff	[['Tsuruoka, Youta', 'Sound Director'], ['ZAQ', 'Theme Song Composition'], ['Matsuda, Akito', 'Music'], ['Takeda, Ayano', 'Original Creator']]
