animeTitle	Grisaia no Kajitsu Specials
animeType	Special
animeNumEpisode	6
releaseDate	2014-12-25 00:00:00
endDate	2015-05-27 00:00:00
animeNumMembers	
animeScore	6.91
animeUsers	37479
animeRank	
animePopularity	2038
animeDescription	Short specials added to Blu-ray/DVD volumes.
animeRelated	['Grisaia no Kajitsu', 'Grisaia no Meikyuu: Caprice no Mayu 0 - Takizono Basketball Club no Nama Cream Party!']
animeCharacters	['Kazami, Kazuki', 'Matsushima, Michiru', 'Sakaki, Yumiko', 'Suou, Amane', 'Komine, Sachi', 'Irisu, Makina', 'Kazami, Yuuji']
animeVoices	['Tomonaga, Akane', 'Mizuhashi, Kaori', 'Tanaka, Ryouko', 'Taguchi, Hiroko', 'Shimizu, Ai', 'Tamiyasu, Tomoe']
animeStaff	[['Watanabe, Akio', 'Character Design, Original Character Design']]
