animeTitle	BUCK-TICK x HAL
animeType	Music
animeNumEpisode	4
releaseDate	2018-10-25 00:00:00
endDate	
animeNumMembers	246
animeScore	5.48
animeUsers	104
animeRank	10424
animePopularity	15311
animeDescription	"A music video collaboration between the band BUCK-TICK and the HAL College of Technology and Design. This project was done under the cooperation of the Victor Entertainment record label. Students were divided into teams and chose one song from the ""No. 0"" album released this past March to animate segments of. The top 3 works were posted to Victor Entertainment's official YouTube channel (Babel, Guernica no Yoru, and Hikari no Teikoku) and a ~10 min long video compilation of the rest were posted to HAL's official YouTube channel.

The music videos are directed by Yuuichirou Iwaki, a HAL alumni who is the president of studio Speed Inc."
animeRelated	['Project HAL']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
