animeTitle	b'WWW.Working!!'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.43
animeUsers	64574
animeRank	
animePopularity	
animeDescription	"b""Daisuke Higashida is a serious first-year student at Higashizaka High School. He lives a peaceful everyday life even though he is not satisfied with the family who doesn't laugh at all and makes him tired. However, his father's company goes bankrupt one day, and he can no longer afford allowances, cellphone bills, and commuter tickets. When his father orders him to take up a part-time job, Daisuke decides to work at a nearby family restaurant in order to avoid traveling 15 kilometers to school by bicycle."""
animeRelated	"[b'Working!! Web-ban', b'Working!!', b""Working'!! Announcement Specials""]"
animeCharacters	[b'Miyakoshi, Hana', b'Muranushi, Sayuri', b'Higashida, Daisuke', b'Kamakura, Shiho', b'Adachi, Masahiro', b'Kondou, Kisaki', b'Shindou, Yuuta', b'Kondou, Hime', b'Kouno, Takuya', b'Yanagiba, Miri']
animeVoices	[b'\nTomatsu, Haruka\nJapanese\n', b'\nHikasa, Youko\nJapanese\n', b'\nNakamura, Yuuichi\nJapanese\n', b'\nAmamiya, Sora\nJapanese\n', b'\nUchiyama, Kouki\nJapanese\n', b'\nMizuki, Nana\nJapanese\n', b'\nOno, Kensho\nJapanese\n', b'\nShimono, Hiro\nJapanese\n', b'\nAsakura, Momo\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKamakura, Yumi\n\nDirector, Episode Director, Storyboard\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nHoshino, Makoto\n\nEpisode Director\n\n', b'\nIshikawa, Shunsuke\n\nEpisode Director\n\n']
