animeTitle	Sunny
animeType	Music
animeNumEpisode	1
releaseDate	2019-09-06 00:00:00
endDate	
animeNumMembers	
animeScore	5.08
animeUsers	107
animeRank	
animePopularity	16179
animeDescription	Music video by Densuke28 for the single SUNNY by Japanese hip-hop group TOKYO HEALTH CLUB. The video features two near-identical continuously looping scenes, where viewers are encouraged to try and spot the ten differences between them.
animeRelated	[]
animeCharacters	['Bibby']
animeVoices	[]
animeStaff	[['Densuke28', 'Director']]
