animeTitle	Koroshiya-san: The Hired Gun
animeType	TV
animeNumEpisode	10
releaseDate	2013-10-11 00:00:00
endDate	2013-12-13 00:00:00
animeNumMembers	6684
animeScore	5.53
animeUsers	2405
animeRank	10308
animePopularity	6228
animeDescription	"The comedy story follows the title character, who is regarded by himself and others as the best hit man in Japan. He goes by the motto, ""If I have an assignment, I will kill anything."" However, his ""killing"" assignments have expanded to include everything from summer vacation homework to housekeeping. ""The hit man never fails to kill the target. Though he does not aim to, he also never misses the laughter.""

(Source: ANN)"
animeRelated	['Koroshiya-san']
animeCharacters	['Sasaki, Ryuichi', 'Gorou', 'Odeshi', 'Deka-chou', 'Chichi no Kataki Onna']
animeVoices	['Sakurai, Takahiro', 'Fujiwara, Keiji', 'Kanada, Aki', 'Ookawa, Tooru', 'Fujita, Saki']
animeStaff	"[['Watanabe, Jun', 'Sound Director'], [""Mix Speaker's,Inc."", 'Theme Song Performance'], ['Haruki', 'Original Character Design'], ['Ichijo, Masahide', 'Original Creator']]"
