animeTitle	b'Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?'
animeType	b'TV'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	7.5
animeUsers	271807
animeRank	
animePopularity	
animeDescription	"b'Izayoi Sakamaki, Asuka Kudou, and You Kasukabe are extraordinary teenagers who are blessed with psychic powers but completely fed up with their disproportionately mundane lives\xe2\x80\x94until, unexpectedly, each of them receives a strange envelope containing an invitation to a mysterious place known as Little Garden. \n\nInexplicably dropped into a vast new world, the trio is greeted by Kurousagi, who explains that they have been given a once-in-a-lifetime chance to participate in special high-stakes games using their abilities. In order to take part, however, they must first join a community. Learning that Kurousagi\'s community ""No Names"" has lost its official status and bountiful land due to their defeat at the hands of a demon lord, the group sets off to help reclaim their new home\'s dignity, eager to protect its residents and explore the excitement that Little Garden has to offer.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?', b'Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?: Onsen Manyuuki']
animeCharacters	"[b'Sakamaki, Izayoi', b'Kurousagi', b'Kasukabe, You', b'Kudou, Asuka', b'Shiroyasha', b'Draculea, Leticia', b'Pest', b""Jack-o'-lantern"", b'Lili', b'Russell, Jin']"
animeVoices	[b'\nAsanuma, Shintaro\nJapanese\n', b'\nNomizu, Iori\nJapanese\n', b'\nNakajima, Megumi\nJapanese\n', b'\nBridcutt, Sarah Emi\nJapanese\n', b'\nArai, Satomi\nJapanese\n', b'\nTatsumi, Yuiko\nJapanese\n', b'\nSaitou, Chiwa\nJapanese\n', b'\nHayami, Show\nJapanese\n', b'\nMikami, Shiori\nJapanese\n', b'\nIgarashi, Hiromi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKusakawa, Keizou\n\nDirector, Storyboard\n\n', b'\nYamamoto, Yasutaka\n\nDirector\n\n', b'\nTanaka, Kazuya\n\nSound Director\n\n', b'\nKosaka, Harume\n\nEpisode Director\n\n']
