animeTitle	Asu no Yoichi!
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.74
animeUsers	100514
animeRank	
animePopularity	956
animeDescription	"Yoichi Karasuma has spent all of his life in the mountains, training in the Soaring Wind, Divine Wind swordsmanship style. Under his father’s guidance, he is able to master the technique at the age of 17. With nothing left to learn, Yoichi is sent to a new dojo located in the city so he can continue to train and gain an understanding of modern society.

Unfortunately, Yoichi has no idea how to act or speak to anyone in the present day and acts like a samurai, complete with odd speech and traditional clothing. As he goes to live with the Ikaruga sisters at the dojo, Yoichi, clueless on how to interact with others, is constantly hurtled in hilarious misunderstandings. Asu no Yoichi! follows Yoichi as he stumbles through his new life and tries to learn how to live in the modern world with his new family.

[Written by MAL Rewrite]"
animeRelated	['Asu no Yoichi!']
animeCharacters	['Ikaruga, Ayame', 'Karasuma, Yoichi', 'Ikaruga, Chihaya', 'Ikaruga, Ibuki', 'Ikaruga, Kagome', 'Takatsukasa, Angela', 'Washizu, Ryou', 'Tsubame, Tsubasa', 'Saginomiya, Sakon', 'Yuzu']
animeVoices	['Tomatsu, Haruka', 'Okamoto, Nobuhiko', 'Tamura, Yukari', 'Satou, Rina', 'Hanazawa, Kana', 'Nabatame, Hitomi', 'Nakai, Kazuya', 'Makino, Yui', 'Yahagi, Sayuri', 'Satou, Satomi']
animeStaff	[['Kujou, Rion', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Satou, Hikaru', 'Episode Director'], ['Suzuki, Kaoru', 'Episode Director']]
