animeTitle	b'K: Seven Stories - The Idol K'
animeType	b'Movie'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	5.73
animeUsers	1521
animeRank	
animePopularity	
animeDescription	b'Shorts featuring the characters reimagined as idols.'
animeRelated	[b'K: Seven Stories Movie 1 - R:B - Blaze', b'K: Seven Stories Movie 2 - Side:Blue - Tenrou no Gotoku', b'K: Seven Stories Movie 3 - Side:Green - Uwagaki Sekai', b'K: Seven Stories Movie 4 - Lost Small World - Ori no Mukou ni', b'K: Seven Stories Movie 5 - Memory of Red - Burn', b'K: Seven Stories Movie 6 - Circle Vision - Nameless Song']
animeCharacters	[b'Isana, Yashiro', b'Neko', b'Yatogami, Kurou', b'Suou, Mikoto', b'Yata, Misaki', b'Fushimi, Saruhiko', b'Kushina, Anna', b'Munakata, Reishi', b'Kusanagi, Izumo', b'Hisui, Nagare']
animeVoices	[b'\nKomatsu, Mikako\nJapanese\n', b'\nSugita, Tomokazu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMiyano, Mamoru\n\nTheme Song Performance\n\n', b'\nOno, Daisuke\n\nTheme Song Performance\n\n', b'\nFukuyama, Jun\n\nTheme Song Performance\n\n', b'\nNamikawa, Daisuke\n\nTheme Song Performance\n\n']
