animeTitle	Yume kara, Samenai
animeType	OVA
animeNumEpisode	1
releaseDate	1987-02-26 00:00:00
endDate	
animeNumMembers	
animeScore	4.59
animeUsers	483
animeRank	
animePopularity	10478
animeDescription	"Student Takao is inexorably drawn toward Sao despite class rumors that she has appeared in a porno movie.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Fujii, Takao', 'Kawamura', 'Teacher', 'Kawahara, Sunao', 'Amagase, Koyuki']
animeVoices	['Sasaki, Nozomu', 'Yamazaki, Tetsuya', 'Ootaki, Shinya', 'Sano, Ryouko']
animeStaff	[['Inoue, Osamu', 'Director, Episode Director, Storyboard'], ['Sano, Ryouko', 'Theme Song Performance']]
