animeTitle	b'Kokoro Toshokan'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.51
animeUsers	1648
animeRank	
animePopularity	
animeDescription	"b""Hidden away on a remote mountaintop, the Kokoro Library struggles to attract many visitors. Nevertheless, it is the home of sisters Iina, Aruto, and Kokoro, who consider it their mission to keep the library running in their parents' stead. Kokoro has long dreamed of becoming a librarian at the library with the same name as her, and tries her best to keep up with her older sisters.\n\nDue to the lack of patrons, the girls mainly spend their time sipping tea, chatting, and reading. However, as the number of mysterious visitors progressively increases, Kokoro begins to learn about the strange history of Kokoro Library\xe2\x80\x94a place where small miracles seem to blossom.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Kokoro Toshokan', b'Kokoro Toshokan: Communication Clips']
animeCharacters	[b'Kokoro', b'Aruto', b'Iina', b'Fukami, Misato', b'Kajihara, Inspector', b'Asakura, Hibiki', b'July', b'The Farmer', b'June', b'Saeki, Sarara']
animeVoices	[b'\nSaitou, Chiwa\nJapanese\n', b'\nKuroda, Yumi\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nHanba, Tomoe\nJapanese\n', b'\nTachiki, Fumihiko\nJapanese\n', b'\nNeya, Michiko\nJapanese\n', b'\nSakamoto, Maaya\nJapanese\n', b'\nYukino, Satsuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMasunari, Koji\n\nDirector\n\n', b'\nKikuta, Hiromi\n\nSound Director\n\n', b'\nSatou, Teruo\n\nEpisode Director, Storyboard\n\n', b'\nKuroda, Yousuke\n\nScript\n\n']
