animeTitle	"b""Cat's Eye"""
animeType	b'TV'
animeNumEpisode	73
releaseDate	
endDate	
animeNumMembers	
animeScore	7.19
animeUsers	5341
animeRank	
animePopularity	
animeDescription	"b'The three Kisugi sisters\xe2\x80\x94Rui, Hitomi and Ai\xe2\x80\x94during the day run a small cafe called ""Cat\'s Eye."" To discover the whereabouts of their father, the artist Michael Heintz, who has disappeared, Hitomi and her sisters rob art galleries as the smart and mysterious thief ""Cat\'s Eye"" in the hope that his works can give them clues about his vanishing. The crucial point is that Hitomi has a relationship with Toshi, a police inspector who has sworn to catch ""Cat\'s Eye""\xe2\x80\x94and of course he has no idea about Hitomi\'s double life.\n\n(Source: ANN)'"
animeRelated	"[b""Cat's Eye""]"
animeCharacters	[b'Kisugi, Hitomi', b'Kisugi, Rui', b'Utsumi, Toshio', b'Kisugi, Ai', b'Asatani, Mitsuko', b'Hatsukawa, Kusumi', b'Yukiko', b'Chief', b'Kuramoto, Reika', b'Heinz, Michael']
animeVoices	[b'\nToda, Keiko\nJapanese\n', b'\nFujita, Toshiko\nJapanese\n', b'\nYasuhara, Yoshito\nJapanese\n', b'\nSakamoto, Chika\nJapanese\n', b'\nSakakibara, Yoshiko\nJapanese\n', b'\nKoyama, Mami\nJapanese\n', b'\nTakada, Yumi\nJapanese\n', b'\nUtsumi, Kenji\nJapanese\n', b'\nYokoo, Mari\nJapanese\n']
animeStaff	"[b'\n\n\n\n\n\n', b'\nOkuwaki, Masaharu\n\nEpisode Director\n\n', b'\nOkawa, Toshimichi\n\nScript\n\n', b'\nAnri\n\nTheme Song Performance\n\n', b""\nD'Avena, Cristina\n\nTheme Song Performance\n\n""]"
