animeTitle	Carino Coni
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14316
animeDescription	"A shy little Carino Coni is a rabbit boy who just started to live alone in the forest away from his family.
Everyday Coni's heart raises with joy playing with his siblings who lives nearby, but suddenly cries of lonesomeness, which he cannot explain.

This story is about all heart warming stories Coni encounters, and how he himself become not so lonely anymore as he gradually grows up.

(Source: playsetproducts.jp)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
