animeTitle	K: Seven Stories Movie 5 - Memory of Red - Burn
animeType	Movie
animeNumEpisode	1
releaseDate	2018-11-03 00:00:00
endDate	
animeNumMembers	17921
animeScore	7.62
animeUsers	4385
animeRank	1253
animePopularity	4207
animeDescription	"It is the beginning of December. Anna Kushina's birthday is coming up, so the boys of HOMRA decide to celebrate by preparing a surprise party for their little princess.

(Source: TubiTV)"
animeRelated	['K: Memory of Red', 'K: Seven Stories Movie 4 - Lost Small World - Ori no Mukou ni', 'K: Seven Stories Movie 6 - Circle Vision - Nameless Song', 'K: Seven Stories - The Idol K']
animeCharacters	['Suou, Mikoto', 'Totsuka, Tatara', 'Kusanagi, Izumo', 'Yata, Misaki', 'Fushimi, Saruhiko', 'Isana, Yashiro', 'Kushina, Anna', 'Munakata, Reishi', 'Awashima, Seri', 'Hisui, Nagare']
animeVoices	['Tsuda, Kenjirou', 'Kaji, Yuki', 'Sakurai, Takahiro', 'Fukuyama, Jun', 'Miyano, Mamoru', 'Namikawa, Daisuke', 'Horie, Yui', 'Sugita, Tomokazu', 'Okitsu, Kazuyuki']
animeStaff	[['Tanaka, Ryou', 'Sound Director']]
