animeTitle	Hare Butai
animeType	Music
animeNumEpisode	1
releaseDate	2008-12-01 00:00:00
endDate	
animeNumMembers	59
animeScore	
animeUsers	
animeRank	15944
animePopularity	18218
animeDescription	"An animated music video for Jero's Hare Butai single, aired on NHK's Minna no Uta.

With this video, Jero wanted to express gratitude to her grandmother, who died three years before he became famous in Japan."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
