animeTitle	Hime-chan no Ribbon
animeType	TV
animeNumEpisode	61
releaseDate	
endDate	
animeNumMembers	
animeScore	7.46
animeUsers	2227
animeRank	
animePopularity	5916
animeDescription	"Erika, the princess of the Magic Kingdom has come to Earth in order to find a human girl who looks just like her. That girl turns out to be Himeko Nonohara, a tomboy's tomboy. Erika must give Himeko a magical item she has created in order to prove her worth as a successor to the crown. Himeko must test this item, a hair ribbon that allows her to transform into any other person she sees, to see if it is worthy. The series follows Himeko's adventures and her budding romance with Daichi, the boy who discovers her secret.

(Source: ANN)"
animeRelated	['Hime-chan no Ribbon']
animeCharacters	['Nonohara, Himeko', 'Kobayashi, Daichi', 'Pokota', 'Erika', 'Hibino, Hikaru', 'Gori, Shigeo', 'Takada, Tetsuo', 'Kobayashi, Shintarou', 'Hasekura, Kouichi', 'Hasekura, Emi']
animeVoices	['Ootani, Ikue', 'Daiki, Yuu', 'Ikura, Kazue', 'Mayama, Ako', 'Ikemizu, Michihiro', 'Madono, Mitsuaki', 'Takayama, Minami', 'Kusanagi, Tsuyoshi', 'Yokoyama, Chisa']
animeStaff	[['Tsuji, Hatsuki', 'Director, Episode Director'], ['Sakurai, Hiroaki', 'Episode Director, Storyboard'], ['Matsui, Hitoyuki', 'Episode Director'], ['Okazaki, Yukio', 'Episode Director']]
