animeTitle	b'Junjou Shoujo Et Cetera'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.65
animeUsers	2039
animeRank	
animePopularity	
animeDescription	b'Based on the adult manga by Miyabi.'
animeRelated	[b'Junjou Shoujo Et Cetera', b'Junjou Shoujo Et Cetera Specials']
animeCharacters	[b'Kuramochi, Konomi', b'Rumi', b'Jounouchi, Yuuto']
animeVoices	[b'\nIino, Yuu\nJapanese\n', b'\nSanada, Akane\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOota, Hideta\n\nProducer, Director, Episode Director\n\n', b'\nSawayama, Shinichiro\n\nScript\n\n', b'\nMiyabi\n\nOriginal Creator\n\n']
