animeTitle	b'K: Seven Stories Movie 3 - Side:Green - Uwagaki Sekai'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.13
animeUsers	4414
animeRank	
animePopularity	
animeDescription	"b""Sukuna Gojo is a boy who ran away from his wealthy home after becoming disgusted by his controlling parents. Since then, he's been surviving alone on the streets using an SNS app called JUNGLE, which grants its user unnatural power and abilities.\n\n(Source: TubiTV)"""
animeRelated	[b'K Side:Green', b'K: Seven Stories Movie 2 - Side:Blue - Tenrou no Gotoku', b'K: Seven Stories Movie 4 - Lost Small World - Ori no Mukou ni', b'K: Seven Stories - The Idol K']
animeCharacters	"[b'Hisui, Nagare', b'Gojou, Sukuna', b'Mishakuji, Yukari', b'Iwafune, Tenkei', b'Miwa, Ichigen', b'Kokujouji, Daikaku', b'Kotosaka', b'Hirasaka, Douhan', b""Sukuna's Mother""]"
animeVoices	[b'\nOkitsu, Kazuyuki\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n', b'\nMorita, Masakazu\nJapanese\n', b'\nOotsuka, Houchuu\nJapanese\n', b'\nHayami, Show\nJapanese\n', b'\nIizuka, Shouzou\nJapanese\n', b'\nShimono, Hiro\nJapanese\n', b'\nNazuka, Kaori\nJapanese\n', b'\nKaida, Yuuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTanaka, Ryou\n\nSound Director\n\n']
