animeTitle	Implicity
animeType	OVA
animeNumEpisode	2
releaseDate	2017-09-22 00:00:00
endDate	2017-11-24 00:00:00
animeNumMembers	4012
animeScore	5.97
animeUsers	1521
animeRank	
animePopularity	7638
animeDescription	In the future, where sex is no longer age-restricted, a young married couple lose their wedding ring - which gets picked up by a teen prostitute and her boyfriend in the slums. She wants to sell it and use that money to start fresh but, as it turns out, that won't be as straightforward.
animeRelated	['Implicity']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
