animeTitle	Tetsuwan Atom
animeType	TV
animeNumEpisode	193
releaseDate	1963-01-01 00:00:00
endDate	1966-12-31 00:00:00
animeNumMembers	10389
animeScore	7.08
animeUsers	2680
animeRank	3444
animePopularity	5225
animeDescription	"In the year 2003, Professor Tenma is distraught when his son Tobio is killed in a car accident. He loses himself in his latest project, creating Atom, a robot boy programmed to be forever good.

Upset that his Tobio-substitute can never grow up, Tenma sells Atom to Ham Egg, the cruel ringmaster of a robot circus. Atom meets the kindly Professor Ochanomizu, who adopts him, inspires him to become a crusader against evil, and eventually builds him a robot ""sister,"" Uran.

(Source: The Anime Encyclopedia)"
animeRelated	['Tetsuwan Atom', 'Astro Boy: Tetsuwan Atom', 'Tetsuwan Atom (1980)', 'Tetsuwan Atom: Atom Tanjou no Himitsu', 'Tetsuwan Atom: Chikyuu Saigo no Hi', 'Tetsuwan Atom: Kagayakeru Hoshi - Anata wa Aoku, Utsukushii...', 'Go! Go! Atom', 'Tetsuwan Atom: Uchuu no Yuusha', 'Atom: The Beginning']
animeCharacters	['Atom', 'Dr. Ochanomizu', 'Tenma, Umatarou', 'Pluto', 'Uran', 'Atlas', 'Hige Oyaji', 'Ham Egg', 'Tenma, Tobio', 'Cobalt']
animeVoices	['Shimizu, Mari', 'Katsuta, Hisashi', 'Yokomori, Hisashi', 'Mutou, Reiko', 'Yajima, Masaaki', 'Ebata, Takashi', 'Komiyama, Kiyoshi']
animeStaff	[['Tezuka, Osamu', 'Director, Episode Director, Script, Original Creator'], ['Tomino, Yoshiyuki', 'Episode Director, Script'], ['Dezaki, Osamu', 'Episode Director, Storyboard, In-Between Animation, Key Animation'], ['Rintaro', 'Episode Director']]
