animeTitle	b'Legend of Regios'
animeType	b'Special'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.43
animeUsers	2530
animeRank	
animePopularity	
animeDescription	"b""Legend of Regios was originally the English speaking cut-scenes on TV, that the characters in the Chrome Shelled Regios series were watching.\n\nThis special (which has been included with the DVD release of Chrome Shelled Regios) has reorganized the scenes, extended some, and has been re-dubbed completely in Japanese.  It's a side story within the Chrome Shelled Regios series."""
animeRelated	[b'Legend of Regios', b'Chrome Shelled Regios']
animeCharacters	[b'Saya', b'Garfield, Airen']
animeVoices	[b'\nNazuka, Kaori\nJapanese\n', b'\nYasumoto, Hiroki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAsakura, Daisuke\n\nMusic\n\n', b'\nAmagi, Shuusuke\n\nOriginal Creator\n\n', b'\nMiyuu\n\nOriginal Character Design\n\n', b'\nAoki, Tomoyuki\n\nSetting\n\n']
