animeTitle	Shutsugeki! Machine Robo Rescue
animeType	TV
animeNumEpisode	53
releaseDate	2003-01-08 00:00:00
endDate	2004-01-03 00:00:00
animeNumMembers	1526
animeScore	6.75
animeUsers	538
animeRank	4851
animePopularity	10133
animeDescription	"In the future, age is not a factor to determine whether someone can perform a certain task or not, but special talent and training. An organization, Machine Robo Rescue (MRR), was established for robots and children to become partner and rescue people from danger. Then 12 children with various abilities were selected and introduced as part of this program: Robo Rescue! 

Meet Oozora Taiyou, one of the children who were chosen as a part of MRR program. After being late on his first day of training, he went to perform a hot rescue with JETROBO. However, a mysterious Robot from mysterious organization, ""The Star""(?), appeared before MRR team to interfere with the rescue. What are the motives of the mysterious organization? And what are their goals? 

Life as one of the children chosen as part of MRR has started for Oozora Taiyou. Bumpy and hard training is just ahead for MRR team in order to protect many people's life!

(Source: AnimeNfo)"
animeRelated	['Machine Robo: Cronos no Dai Gyakushuu']
animeCharacters	['Oozora, Taiyo', 'Aikawa, Makoto', 'Hayami, Daichi', 'Honoo, Arias', 'Utada, Tsuyoshi', 'Minami, Ken', 'Utada, Susumu', 'Ashikawa, Shou', 'Haruka, Rin', 'Suizenji, Sayuri']
animeVoices	['Aida, Sayaka', 'Kusaka, Chihiro', 'Hayamizu, Risa', 'Shindo, Naomi', 'Shitanda, Michael', 'Matsumoto, Megumi', 'Higa, Kumiko', 'Kimura, Akiko']
animeStaff	[['Yamakawa, Norio', 'Producer'], ['Kanbe, Mamoru', 'Director, Episode Director, Storyboard'], ['Fujino, Sadayoshi', 'Sound Director'], ['Fukushima, Toshinori', 'Episode Director, Storyboard']]
