animeTitle	b'Inyouchuu Shoku: Ryoushokutou Taimaroku'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.33
animeUsers	1990
animeRank	
animePopularity	
animeDescription	"b""The demon hunters are back! Mikoto, Sui, and Takeru are sent to investigate a mysterious island where people have been disappearing repeatedly and dark yoma are rumored to be the cause. When the team first arrives it almost feels like a vacation to them, but it doesn't take them long to the feel the presence of something dark and evil..."""
animeRelated	[b'Inyouchuu', b'Inyouchuu Shoku: Ryoushoku Shima Taimaroku', b'Inyouchuu The Animation', b'Inyouchuu Shoku: Ryoushokutou Taimaroku - Kanzenban', b'Inyouchuu Etsu', b'Inyouchuu Shoku: Harami Ochiru Shoujo-tachi Anime Edition']
animeCharacters	[b'Shiratori, Mikoto', b'Kayama, Sui', b'Shiratori, Takeru', b'Tsukishiro, Ouka', b'Tsukishiro, Kikuka', b'Meioh']
animeVoices	[b'\nInokuchi, Yuka\nJapanese\n', b'\nAsakawa, Yuu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMurakami, Kotaro\n\nProducer\n\n', b'\nHiguchi, Yoshitaka\n\nDirector\n\n', b'\nTinkerBell\n\nOriginal Creator\n\n', b'\nAojiru\n\nOriginal Character Design, Original Creator\n\n']
