animeTitle	De:vadasy
animeType	OVA
animeNumEpisode	3
releaseDate	2000-11-25 00:00:00
endDate	2001-01-25 00:00:00
animeNumMembers	2600
animeScore	4.67
animeUsers	974
animeRank	11755
animePopularity	8765
animeDescription	For young men like Kei, life is still plagued by nothing but homework and girl trouble. When an unknown force besieges Earth with robotic war machines, however, it is Kei who is chosen to defend the human race.
animeRelated	[]
animeCharacters	['Anno, Kei', 'Takashina, Misako', 'Matsudo, Naoki', 'Minakushi, Amara']
animeVoices	['Suzumura, Kenichi', 'Nagata, Ryoko', 'Mitsuishi, Kotono']
animeStaff	[['Kondou, Nobuhiro', 'Director'], ['Takeuchi, Shinji', 'Animation Director'], ['Sirabella, John', 'Executive Producer']]
