animeTitle	Tennis no Ouji-sama: Atobe kara no Okurimono - Kimi ni Sasageru Tennis Prince Matsuri
animeType	Movie
animeNumEpisode	1
releaseDate	2005-01-29 00:00:00
endDate	
animeNumMembers	
animeScore	7.47
animeUsers	7273
animeRank	
animePopularity	4622
animeDescription	"Hyoutei Academy's excessively wealthy and prideful tennis captain, Keigo Atobe, decides to host a giant one-day inter-school festival in order to bring together the middle school tennis circuit. The festival exudes class and wealth, befitting its host. The extravagant occasion is filled with many attractions, with the most major event being a fierce relay race between all of the schools in attendance. However, Atobe has his own reasons for hosting this Super Tennis Festival; it seems that the special day is all for a certain someone among the festival attendees.

[Written by MAL Rewrite]"
animeRelated	['Tennis no Ouji-sama']
animeCharacters	['Atobe, Keigo', 'Echizen, Ryouma', 'Fuji, Shuusuke', 'Tezuka, Kunimitsu', 'Kikumaru, Eiji', 'Kaidou, Kaoru', 'Kirihara, Akaya', 'Yukimura, Seiichi', 'Niou, Masaharu', 'Sanada, Genichirou']
animeVoices	['Suwabe, Junichi', 'Minagawa, Junko', 'Kaida, Yuki', 'Okiayu, Ryoutarou', 'Takahashi, Hiroki', 'Kiyasu, Kohei', 'Morikubo, Shoutarou', 'Masuda, Yuuki', 'Kusunoki, Taiten']
animeStaff	[['Ishikawa, Mitsuhisa', 'Producer'], ['Hamana, Takayuki', 'Director, Storyboard, Key Animation'], ['Tsuda, Kenjirou', 'Theme Song Performance'], ['Okiayu, Ryoutarou', 'Theme Song Performance']]
