animeTitle	Robot Atom
animeType	OVA
animeNumEpisode	8
releaseDate	2015-11-03 00:00:00
endDate	
animeNumMembers	419
animeScore	
animeUsers	
animeRank	12974
animePopularity	13441
animeDescription	"Astro Boy appears to be a normal, playful kid, yet he is a robot capable of both flying and incredible strength. Living with his parents in a small town where humans and robots coexist, he has many friends thanks to his cheerful nature. Eager to learn and try new things, Astro and his companions often embark on exciting adventures. But their explorations are met with unexpected troubles when the wicked criminal Hamegg—joined by his accomplices Gora, a pink gorilla robot, and Professor Flau—interferes with their endeavors. 

As the little robot boy and his group bravely face challenges, their efforts become part of a journey to discover the world's values and wonders.

[Written by MAL Rewrite]"
animeRelated	['Tetsuwan Atom (1980)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
