animeTitle	Hataraku Maou-sama! 2nd Season
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	1132
animeDescription	Second season of Hataraku Maou-sama!
animeRelated	['Hataraku Maou-sama!']
animeCharacters	['Maou, Sadao', 'Yusa, Emi', 'Ashiya, Shirou', 'Urushihara, Hanzou', 'Sasaki, Chiho', 'Kamazuki, Suzuno']
animeVoices	['Oosaka, Ryouta', 'Hikasa, Youko', 'Ono, Yuuki', 'Shimono, Hiro', 'Touyama, Nao', 'Itou, Kanae']
animeStaff	[['Wagahara, Satoshi', 'Original Creator'], ['029', 'Original Character Design']]
