animeTitle	High School Fleet OVA
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.22
animeUsers	7911
animeRank	
animePopularity	4227
animeDescription	"The mutinous Musashi has been defeated, and the girls from Yokosuka Girls' Marine High School are safely back home. However, the Harekaze sustained critical damage during its final encounter with the Musashi and may not be able to sail again. Moreover, rumors spread that the Harekaze-class will be dissolved due to it lacking a ship. 

Other classes' attempts to scout members from the Harekaze's crew only make the situation even more uncertain. The answer to this dire problem may be found in the sealed orders that the secretary of the Harekaze, Kouko Nosa, is to deliver to its crewmembers. But time is running short...

[Written by MAL Rewrite]"
animeRelated	['High School Fleet', 'High School Fleet Movie']
animeCharacters	['Braunschweig Ingenohl Friedeburg, Wilhelmina', 'Misaki, Akeno', 'Munetani, Mashiro', 'Irizaki, Mei', 'Nosa, Kouko', 'Shiretoko, Rin', 'China, Moeka', 'Kreutzer, Thea', 'Kaburagi, Minami', 'Yanagiwara, Maron']
animeVoices	['Igarashi, Hiromi']
animeStaff	[['Nobuta, Yuu', 'Director, Storyboard, Key Animation'], ['Ishigura, Rei', 'Episode Director, Assistant Director'], ['TrySail', 'Theme Song Performance'], ['Suzuki, Takaaki', 'Original Creator']]
