animeTitle	b'Gankutsuou'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	8.16
animeUsers	62363
animeRank	
animePopularity	
animeDescription	"b""In the year 5053, French aristocrats Viscount Albert de Morcerf and Baron Franz d'Epinay attend the festival of Carnival on the moon city of Luna. While Franz is just looking to have fun, Albert is seeking something more to fill his life\xe2\x80\x94but he finds more than he bargained for in The Count of Monte Cristo, a mysterious and charming self-made nobleman who meets his gaze during an opera performance.\n\nThrough a few twists and turns, Albert befriends the Count and introduces him into French society. The Count, however, has more on his mind than just friendship; he plots to finally unleash his vengeance on those who wronged him years earlier. Gankutsuou follows Albert and the Count's intertwined destinies and the ultimate price paid for enacting revenge.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Gankutsuou']
animeCharacters	"[b'The Count of Monte Cristo', b""d'Epinay, Franz"", b'de Morcerf, Albert', b'Tebelin, Hayd\xc3\xa9e', b'Gankutsuou', b'Peppo', b'Danglars, Eug\xc3\xa9nie', b'Cavalcanti, Andrea', b'Bertuccio, Giovanni', b'Morcerf, Fernand']"
animeVoices	[b'\nNakata, Jouji\nJapanese\n', b'\nHirakawa, Daisuke\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n', b'\nYajima, Akiko\nJapanese\n', b'\nTorii, Yoshinari\nJapanese\n', b'\nNakahara, Mai\nJapanese\n', b'\nNakamura, Chie\nJapanese\n', b'\nSeki, Tomokazu\nJapanese\n', b'\nIshii, Kouji\nJapanese\n', b'\nKosugi, Juurouta\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMaeda, Mahiro\n\nDirector, Episode Director, Storyboard, Original Character Design, Key Animation\n\n', b'\nTsuruoka, Youta\n\nSound Director\n\n', b'\nKanbe, Hiroyuki\n\nEpisode Director, Special Effects, Key Animation\n\n', b'\nKato, Toshiyuki\n\nEpisode Director, Storyboard\n\n']
