animeTitle	Ryoujoku Guerrilla Kari 3
animeType	OVA
animeNumEpisode	2
releaseDate	2008-02-29 00:00:00
endDate	2008-04-25 00:00:00
animeNumMembers	2401
animeScore	6.02
animeUsers	605
animeRank	
animePopularity	8951
animeDescription	"There is a spaceship called Victoire. It keeps winning and never loses. The ship is controlled by young and beautiful women, and their victory always boosts the morale of the team. But the ship and its secrets are sold to the enemy after the war, and the women are confined in prison. They have nothing to protect themselves...   

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Belteie, Giselle', 'Gregor, Elen', 'Bisotsus, Rogul']
animeVoices	['Nishizawa, Hiroka', 'Ookubo, Aiko']
animeStaff	[['Fujimoto, Yoshitaka', 'Director, Storyboard'], ['Shinkai, Kouki', 'Editing'], ['Yamamoto, Toshiyuki', 'Music'], ['Matsui, Shinya', 'Director of Photography']]
