animeTitle	Train Heroes Movie
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16457
animeDescription	The mystery that was left untold in the TV series will be revealed in the movie.
animeRelated	['Train Heroes']
animeCharacters	['Eight', 'Sam', 'Arl', 'Gou', 'Instructor Neel', 'Ann', 'Narrator']
animeVoices	['Tanaka, Hideki', 'Okitsu, Kazuyuki', 'Namikawa, Daisuke', 'Ono, Daisuke', 'Urayama, Jin', 'Togashi, Misuzu', 'Ochiai, Kouji']
animeStaff	[]
