animeTitle	b'Shoujo Senki Soul Eater'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.37
animeUsers	2737
animeRank	
animePopularity	
animeDescription	"b'Based on an erotic game with the same name by Lune.\n\nRyusuke is about to be kidnapped by Kimaira, but his older sister, Misa, saves him in exchange of herself. He decides to save Misa, and looks for his company, and meets Mikoto. She was also attacked by Kimaira and lost her family. At this very moment, Byakko appears and attacks Mikoto. Mikoto transforms herself into ""Soul Eater"" and has a battle against it. But Mikoto loses and is raped. Ryusuke is depressed to see what is happening in front of him, but Mikoto already decides to take a revenge...\n\n(Source: VNDB)'"
animeRelated	[b'Shoujo Senki Brain Jacker']
animeCharacters	[b'Genda, Mikoto', b'Genda, Benio']
animeVoices	[b'\nKajita, Yuuki\nJapanese\n', b'\nMotoi, Emi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTominaga, Tsuneo\n\nEpisode Director, Storyboard\n\n', b'\nUshijima, Yuji\n\nCharacter Design\n\n']
