animeTitle	Anime-ban Toukaidou Yotsuya Kaidan
animeType	Special
animeNumEpisode	1
releaseDate	1981-08-16 00:00:00
endDate	
animeNumMembers	427
animeScore	
animeUsers	
animeRank	14815
animePopularity	13394
animeDescription	An adaptation of Yotsuya Kaidan, a classic Japanese horror story about a ghost getting revenge.
animeRelated	['Hino Hideshi Toukaidou Yotsuya Kaidan']
animeCharacters	['Ichiryuu, Sadamizu']
animeVoices	[]
animeStaff	[]
