animeTitle	Sabu to Ichi Torimono Hikae
animeType	TV
animeNumEpisode	52
releaseDate	1968-10-03 00:00:00
endDate	1969-09-24 00:00:00
animeNumMembers	
animeScore	6.46
animeUsers	188
animeRank	
animePopularity	9695
animeDescription	"The series follows the adventures of Sabu, a young Edo bakufu investigator traveling with the blind master swordsman Ichi. In their travels, they assist the common people in solving mysteries and righting wrongs (usually committed by bandits or corrupt officials). Sabu is engaged to Midori, the daughter of his boss, who works as a police officer for the Tokugawa shogunate.

(Source: Wikipedia)"
animeRelated	['Sabu to Ichi Torimono Hikae', 'Sabu to Ichi Torimono Hikae Pilot Film']
animeCharacters	['Ichi', 'Sabu', 'Juuzou', 'Daigorou', 'Echizenya', 'Hunter', 'Iori', 'Jinbee', 'Isuke', 'Hibiki, Kyounosuke']
animeVoices	['Oomiya, Teiji', 'Tomiyama, Kei', 'Shima, Ushio', 'Tatekabe, Kazuya', 'Mine, Eken', 'Katou, Seizou', 'Hirokawa, Taichirou']
animeStaff	[['Rintaro', 'Director, Episode Director'], ['Ishiguro, Noboru', 'Episode Director'], ['Masaki, Mori', 'Episode Director'], ['Suzuki, Shinichi', 'Episode Director']]
