animeTitle	GS Mikami: Gokuraku Daisakusen!!
animeType	Movie
animeNumEpisode	1
releaseDate	1994-08-20 00:00:00
endDate	
animeNumMembers	
animeScore	6.58
animeUsers	1002
animeRank	
animePopularity	8663
animeDescription	Her name is Mikami and she is a Ghost Sweeper by profession. She's also the sexiest exorcist/bounty hunter you will ever meet! When an evil vampire sorcerer returns to Tokyo after a 100-year absence, Mikami is hired to track him and his menacing assistant down before they take over the city.
animeRelated	['GS Mikami']
animeCharacters	['Mikami, Reiko', 'Yokoshima, Tadao', 'Nosferatu', 'Himuro, Kinu', 'Mori, Ranmaru', 'Yakuchin', 'de Bloodeau, Pietro', 'Karasu, Kazuhiro']
animeVoices	['Tsuru, Hiromi', 'Horikawa, Ryo', 'Naya, Gorou', 'Kouda, Mariko', 'Furukawa, Toshio', 'Chafurin']
animeStaff	[['Umezawa, Atsutoshi', 'Director'], ['Okui, Masami', 'Theme Song Performance'], ['Hosoda, Mamoru', 'Key Animation'], ['Kagami, Takahiro', 'Key Animation']]
