animeTitle	b'Nihon Chinbotsu 2020'
animeType	b'ONA'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	6.44
animeUsers	65564
animeRank	
animePopularity	
animeDescription	b'The Mutou family leads a peaceful life: Kouichirou works at a construction site and his wife Mari is returning from an overseas trip. Their daughter Ayumu has just finished her track practice while their son Gou is playing video games at home. However, life as they know it is flipped upside down when a calamitous earthquake strikes the entire Japanese archipelago\xe2\x80\x94obliterating the face of the country in an instant.\n\nWith society crumbling around them and their nation gradually sinking into the ocean, the Mutou family must band together to survive the catastrophe. Treading the near-apocalyptic setting, they struggle not only to stay alive, but also to learn the difficulty of coping with loss.\n\n[Written by MAL Rewrite]'
animeRelated	[b'Nihon Chinbotsu', b'Nihon Chinbotsu 2020 Gekijou Henshuuban Shizumanu Kibou']
animeCharacters	[b'Mutou, Mari', b'Mutou, Ayumu', b'Mutou, Gou', b'Kite', b'Koga, Haruo', b'Hikita, Kunio', b'Miura, Nanami', b'Mutou, Kouichirou', b'Daniel', b'Murota, Kanae']
animeVoices	[b'\nSasaki, Yuko\nJapanese\n', b'\nUeda, Reina\nJapanese\n', b'\nMuranaka, Tomo\nJapanese\n', b'\nOno, Kensho\nJapanese\n', b'\nYoshino, Hiroyuki\nJapanese\n', b'\nSasaki, Umeji\nJapanese\n', b'\nMori, Nanako\nJapanese\n', b'\nTerasoma, Masaki\nJapanese\n', b'\nCockle, George\nJapanese\n', b'\nShiota, Tomoko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYuasa, Masaaki\n\nDirector\n\n', b'\nHeo, Pyeonggang\n\nDirector\n\n', b'\nKimura, Eriko\n\nSound Director\n\n', b'\nYoshitaka, Toshio\n\nScript\n\n']
