animeTitle	Pokke
animeType	Music
animeNumEpisode	1
releaseDate	2015-10-01 00:00:00
endDate	
animeNumMembers	111
animeScore	
animeUsers	
animeRank	12804
animePopularity	17617
animeDescription	Music video for the song Pokke by Japanese pop group DANCE EARTH PARTY, featuring female performance group Happiness, that aired on NHK's Minna no Uta program. The video depicts the various items stored by a boy in his pockets from the perspective of the family washing machine.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
