animeTitle	b'Quanzhi Fashi'
animeType	b'ONA'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.24
animeUsers	45261
animeRank	
animePopularity	
animeDescription	"b""The aloof high schooler Mo Fan has found himself in a universe similar yet distinctly different from his own mundane one; it's a place where magic has replaced the essence of science. Here, the most capable students are taught to master the wonders of spellworking to fend off large devastating beasts that lurk in the forests surrounding the city. \n\nLike his previous life, Mo Fan remains the son of a poor laborer and the older step-brother to a crippled sister. Despite these disadvantages, he dreams of attending a magic school to become a magician\xe2\x80\x94a highly respected and lucrative trade\xe2\x80\x94in order to repay his father for his hard work. \n\nMo Fan is accepted into a renowned magic institution. However, rumors spread about his poverty and lack of magical ability, labeling him as the laughing stock of the school. Nonetheless, Mo Fan manages to harness not only the powerful fire element, but also the rare lightning element! Now armed with dual abilities, what dangerous encounters will the versatile mage face?\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Quanzhi Fashi', b'Quanzhi Fashi II']
animeCharacters	[b'Mo, Fan', b'Mu, Ningxue', b'Ye, Xinxia', b'Zhang, Xiaohou', b'Yue, Tang', b'Ke, Xiao ', b'Mu, Shengxue']
animeVoices	[]
animeStaff	[]
