animeTitle	b'Winter Garden'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.57
animeUsers	3230
animeRank	
animePopularity	
animeDescription	b'This is sweet and bitter love story of Dejiko who is a grown up. The story begins on the Christmas day. Dejiko or Di Gi Carat is working part-time at a bakery shop. On her way from the shop, she happens to meet a young guy, Senba Taokuo at a park. Then, she meets him again in a town. While Dejiko begins to care for Tako and she\xe2\x80\x99s looking forward meet him again, Takuo drops in at her shop.... Whether will she succeed in love?\n\n(Source: AnimeNfo)'
animeRelated	[b'Di Gi Charat']
animeCharacters	[b'Di Gi Charat', b'Petit Charat', b'Senba, Takurou', b'Usada, Hikaru', b'Aiko']
animeVoices	[b'\nSanada, Asami\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nIrino, Miyu\nJapanese\n', b'\nHikami, Kyouko\nJapanese\n', b'\nSasaki, Nozomi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNakamura, Shinichi\n\nProducer\n\n', b'\nSakurai, Hiroaki\n\nDirector, Episode Director, Script, Storyboard, Screenplay\n\n', b'\nSanada, Asami\n\nTheme Song Performance\n\n', b'\nKataoka, Tomoko\n\nTheme Song Lyrics, Theme Song Composition, Music\n\n']
