animeTitle	b'Koisuru Niwatori'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.26
animeUsers	172
animeRank	
animePopularity	
animeDescription	"b""A lovesick hen directs her attention to an unlikely recipient.\n\nMusic video of a song by Taniyama Hiroko. Featured in NHK's Minna no Uta. """
animeRelated	[]
animeCharacters	[b'Hen']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nTaniyama, Hiroko\n\nTheme Song Performance, Theme Song Lyrics, Theme Song Composition\n\n', b'\nWakai, Jouji\n\nAnimation Director\n\n']
