animeTitle	Youjo Senki
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.98
animeUsers	381799
animeRank	
animePopularity	174
animeDescription	"Tanya Degurechaff is a young soldier infamous for predatorial-like ruthlessness and an uncanny, tactical aptitude, earning her the nickname of the ""Devil of the Rhine."" Underneath her innocuous appearance, however, lies the soul of a man who challenged Being X, the self-proclaimed God, to a battle of wits—which resulted in him being reincarnated as a little girl into a world of magical warfare. Hellbent on defiance, Tanya resolves to ascend the ranks of her country's military as it slowly plunges into world war, with only Being X proving to be the strongest obstacle in recreating the peaceful life she once knew. But her perceptive actions and combat initiative have an unintended side effect: propelling the mighty Empire into becoming one of the most powerful nations in mankind's history.

[Written by MAL Rewrite]"
animeRelated	['Youjo Senki', 'Youjo Shenki Episode 0', 'Youjo Shenki', 'Youjo Senki: Senkyou Houkoku', 'Youjo Senki Movie', 'Isekai Quartet', 'Isekai Quartet 2', 'Isekai Quartet Movie: Another World', 'Youjo Senki: Sabaku no Pasta Daisakusen']
animeCharacters	['Degurechaff, Tanya', 'Serebryakova, Viktoriya Ivanovna', 'von Zettour, Hans', 'von Lergen, Erich', 'Sioux, Mary', 'von Rudersdorf, Kurt', 'Weiss, Matheus Johann', 'Existence X', 'von Schugel, Adelheid', 'Sioux, Anson']
animeVoices	['Yuuki, Aoi', 'Hayami, Saori', 'Ootsuka, Houchuu', 'Miki, Shinichiro', 'Tomatsu, Haruka', 'Genda, Tesshou', 'Hamano, Daiki', 'Tezuka, Hideaki', 'Tobita, Nobuo', 'Horiuchi, Kenyuu']
animeStaff	[['Uemura, Yutaka', 'Director, Episode Director, Storyboard'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Akamatsu, Yasuhiro', 'Episode Director, Storyboard'], ['Ihara, Kenta', 'Script, Series Composition']]
