animeTitle	Saint☆Oniisan
animeType	OVA
animeNumEpisode	2
releaseDate	2012-12-03 00:00:00
endDate	2013-08-23 00:00:00
animeNumMembers	
animeScore	7.49
animeUsers	36419
animeRank	
animePopularity	1840
animeDescription	"Jesus Christ and Gautama Buddha, the founders of Christianity and Buddhism, are living together as roommates in a Tokyo apartment while taking a vacation on Earth. The comedy often involves jokes about Christianity, Buddhism, and all things related, as well as the main characters' attempts to hide their identities and understand modern society in Japan.

"
animeRelated	['Saint☆Oniisan', 'Saint☆Oniisan (Movie)']
animeCharacters	"['Jesus', 'Buddha', 'Matsuda, Sachiyo', 'Narrator', ""Kouhei's Mother"", 'Conveni Tenin', ""Ryouta's Mother"", 'Kouhei', 'Daisuke', 'Ryouta']"
animeVoices	['Moriyama, Mirai', 'Hoshino, Gen', 'Suzuki, Reiko', 'Kinomiya, Ryouko', 'Saito, Kimiko', 'Nishihara, Kumiko', 'Hibi, Aiko', 'Kumai, Motoko', 'Nagasawa, Nao']
animeStaff	[['Takao, Noriko', 'Director, Episode Director, Storyboard'], ['Nezu, Rika', 'Script'], ['Nakamura, Hikaru', 'Original Creator'], ['Moriyasu, Yasunao', 'Background Art']]
