animeTitle	Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?: Onsen Manyuuki
animeType	OVA
animeNumEpisode	1
releaseDate	2013-07-20 00:00:00
endDate	
animeNumMembers	78190
animeScore	7.24
animeUsers	44233
animeRank	2700
animePopularity	1913
animeDescription	"Izayoi, Asuka, and You have been invited to participate in a Gift-Game at a hot spring village to help the small community there find a new water source.

OVA bundled with the eighth volume of the light novel."
animeRelated	['Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?']
animeCharacters	"['Sakamaki, Izayoi', 'Kurousagi', 'Kasukabe, You', 'Kudou, Asuka', 'Shiroyasha', 'Draculea, Leticia', ""Jack-o'-lantern"", 'Lili', 'Russell, Jin', 'Hifumi']"
animeVoices	['Asanuma, Shintaro', 'Nomizu, Iori', 'Nakajima, Megumi', 'Bridcutt, Sarah Emi', 'Arai, Satomi', 'Tatsumi, Yuiko', 'Hayami, Show', 'Mikami, Shiori', 'Igarashi, Hiromi', 'Hidaka, Rina']
animeStaff	[['Nomizu, Iori', 'Theme Song Performance'], ['Sadohara, Kaori', 'Theme Song Performance'], ['Nakajima, Megumi', 'Inserted Song Performance'], ['Tatsunoko, Tarou', 'Original Creator']]
