animeTitle	Onmyouji: Youen Emaki
animeType	OVA
animeNumEpisode	2
releaseDate	2003-09-25 00:00:00
endDate	2003-12-25 00:00:00
animeNumMembers	
animeScore	5.59
animeUsers	582
animeRank	
animePopularity	9399
animeDescription	Some people investigate a series of mysterious murders and end up finding out that demons are behind all the killings. 
animeRelated	['Onmyouji Ayakashi no Megami: Inran Jubaku']
animeCharacters	['Abe, Seimei', 'Miyamoto, Hiromasa']
animeVoices	['Hirata, Hiromi', 'Chiba, Susumu']
animeStaff	[['Raika, Ken', 'Director'], ['Tayama, Mamito', 'Key Animation']]
