animeTitle	Zoids Wild
animeType	TV
animeNumEpisode	50
releaseDate	2018-07-07 00:00:00
endDate	2019-06-29 00:00:00
animeNumMembers	5455
animeScore	6.3
animeUsers	458
animeRank	7203
animePopularity	6772
animeDescription	"The series follows Arashi and his Wild Liger. The main antagonists are the Death Metal Empire, lead by Gallagher. They use Zoids for conquest, and have at their command many Zoids and warriors, including the Four Heavenly Kings.

Arashi longs to follow his father's footsteps become a Zoid Hunter, and find his ultimate Partner. At the beginning of his journey, he partners up with the Wild Liger and meets Bacon and Team Supreme, who tell him about the Great Ancient Treasure Z.

(Source: Zoids Wiki)
"
animeRelated	['Zoids Wild', 'Zoids Genesis', 'Zoids', 'Zoids Shinseiki/Zero', 'Zoids Fuzors', 'Zoids Wild Senki', 'Zoids Wild Zero']
animeCharacters	['Penne', 'Onigiri', 'Arashi', 'Tomato']
animeVoices	[]
animeStaff	[['Matsuoka, Hiroki', 'Sound Director'], ['Kou, Yuu', 'Storyboard'], ['Nakajuu, Shunsuke', 'Storyboard'], ['Nakagawa, Shoko', 'Theme Song Performance']]
