animeTitle	b'Gooorgeous'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.65
animeUsers	398
animeRank	
animePopularity	
animeDescription	"b""The music video was a first part of a series of commemorations for the Macross franchise's 35th anniversary which happened in 2017. It was only shown on two giant streetside screens in Tokyo, Alta Vision in Shinjuku and UDX Vision in Akihabara. \n\n(Source: AniDB)\n"""
animeRelated	[b'Macross F']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
