animeTitle	Tannishou wo Hiraku
animeType	Movie
animeNumEpisode	1
releaseDate	2019-05-24 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	11351
animeDescription	"Yuien, a troubled young man, meets the Buddhist monk Shinran, and listens to his teachings. Shinran takes him on as his disciple, and they travel together, with experiences both joyous and heartbreaking awaiting them on the road.

(Source: ANN)"
animeRelated	['Naze Ikiru: Rennyo Shounin to Yoshizaki Enjou']
animeCharacters	['Yuinen', 'Shinran']
animeVoices	['Masuda, Toshiki', 'Ishizaka, Kouji']
animeStaff	[['Wada, Kiyoto', 'Script']]
