animeTitle	Junjou Romantica 2
animeType	TV
animeNumEpisode	12
releaseDate	2008-10-12 00:00:00
endDate	2008-12-28 00:00:00
animeNumMembers	161753
animeScore	7.78
animeUsers	96273
animeRank	889
animePopularity	1092
animeDescription	The second part of Junjou Romantica continuing the story.
animeRelated	['Junjou Romantica', 'Junjou Romantica 3']
animeCharacters	['Usami, Akihiko', 'Takahashi, Misaki', 'Kamijou, Hiroki', 'Kusama, Nowaki', 'Takatsuki, Shinobu', 'Miyagi, You', 'Isaka, Ryuuichirou', 'Ijuuin, Kyou', 'Aikawa, Eri', 'Asahina, Kaoru']
animeVoices	['Hanada, Hikaru', 'Sakurai, Takahiro', 'Itou, Kentarou', 'Canna, Nobutoshi', 'Kishio, Daisuke', 'Inoue, Kazuhiko', 'Morikawa, Toshiyuki', 'Gouda, Hozumi', 'Namiki, Noriko', 'Okiayu, Ryoutarou']
animeStaff	[['Yoshikawa, Mei', 'Producer'], ['Kon, Chiaki', 'Director, Episode Director, Storyboard'], ['Gouda, Hozumi', 'Sound Director'], ['Takamura, Yuuta', 'Episode Director']]
