animeTitle	Uchuu Kaizoku Captain Herlock: Arcadia-gou no Nazo
animeType	Movie
animeNumEpisode	1
releaseDate	1978-07-22 00:00:00
endDate	
animeNumMembers	
animeScore	6.95
animeUsers	1802
animeRank	
animePopularity	7077
animeDescription	The story on Arcadia's mystery, on which the 13th television episode was based.
animeRelated	['Uchuu Kaizoku Captain Herlock']
animeCharacters	['Captain Herlock', 'Ooyama, Mayu', 'Miime', 'Yuki, Kei', 'Daiba, Tadashi', 'Yattaran', 'Dr. Zero', 'Aman', 'Tsunajima, Masu', 'Chief Engineer Maji']
animeVoices	['Inoue, Makio', 'Kawashima, Chiyoko', 'Ohara, Noriko', 'Kamiya, Akira', 'Ootake, Hiroshi', 'Yanami, Jouji', 'Tsuboi, Akiko', 'Tsukase, Noriko', 'Ogata, Kenichi']
animeStaff	[['Rintaro', 'Director, Episode Director'], ['Mizuki, Ichirou', 'Theme Song Performance'], ['Matsumoto, Leiji', 'Original Creator'], ['Aihara, Nobuhiro', 'In-Between Animation']]
