animeTitle	Mangirl!
animeType	TV
animeNumEpisode	13
releaseDate	2013-01-03 00:00:00
endDate	2013-03-28 00:00:00
animeNumMembers	29643
animeScore	5.84
animeUsers	12570
animeRank	9237
animePopularity	3312
animeDescription	"""We're going to launch a manga magazine!"" 

A team of girls with zero experience in manga editing are off and running toward their dream of creating the biggest manga magazine in Japan! They seem to do nothing but run into problems and failures... But still they're working hard every day!

(Source: Crunchyroll)"
animeRelated	['Mangirl!', 'Mangirl!: Asobu Henshuu Girl']
animeCharacters	['Torii, Aki', 'Sasayama, Hana', 'Nishijima, Ringo', 'Haraki, Tsugumi', 'Fujimori, Shinobu', 'Abe, An', 'Maid Tenchou', 'Hibari', 'Sakuradai, Kiiro', 'Misono, Sayuri']
animeVoices	['Komagata, Yuri', 'Miyamoto, Kanako', 'Ohashi, Ayaka', 'Otaka, Moemi', 'Kayano, Ai', 'Uchida, Maaya', 'Narumi, Kyoko', 'Matsuzaki, Rei', 'Yuuki, Aoi', 'Taketatsu, Ayana']
animeStaff	[['Nakanishi, Nobuaki', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Yoshida, Reiko', 'Script'], ['Yokotani, Masahiro', 'Script']]
