animeTitle	Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.
animeType	TV
animeNumEpisode	12
releaseDate	2019-07-04 00:00:00
endDate	2019-09-19 00:00:00
animeNumMembers	
animeScore	7.08
animeUsers	76264
animeRank	
animePopularity	1084
animeDescription	"Eighteen-year-old Dale Reki is a skilled, kind, and respected traveler, acknowledged as one of the leading adventurers in the city of Kreuz. One day while on the hunt for magical beasts, he comes across a sweet devil girl named Latina. She is alone, dressed in rags, and bears the devils' symbol of a criminal: a broken horn. Concerned for her wellbeing, Dale decides to ensure Latina's safety by bringing her to his home, eventually leading to him adopting her.

Latina is sweet, innocent and compassionate, charming Dale beyond his expectations. He begins to enjoy the life of parenthood— experiencing the trials that come with raising a child and coping with the heartache he feels whenever his busy lifestyle as an adventurer parts him from her.

Although work and life as a new parent become reassuring constants for Dale, the mysteries surrounding the girl remain. Why was Latina alone in the forest, and why does she harbor the symbol of a criminal? At the same time, Latina also begins to learn about the world and herself as she adjusts to her new life with Dale.

[Written by MAL Rewrite]"
animeRelated	['Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.', 'Latina no Nikki']
animeCharacters	['Latina', 'Dale', 'Kenneth', 'Rita', 'Jilvester', 'Rudy', 'Maaya', 'Helmine', 'Frieda', 'Wendelgard']
animeVoices	['Takao, Kanon', 'Okamoto, Nobuhiko', 'Koyama, Tsuyoshi', 'Numakura, Manami', 'Nishimura, Tomomichi', 'Tamura, Mutsumi', 'Fukuo, Yui', 'Nakahara, Mai', 'Otagiri, Yui', 'Shibahara, Chiyako']
animeStaff	[['Yanase, Yuuji', 'Director'], ['Tsuchiya, Masaki', 'Sound Director'], ['Yoshioka, Takao', 'Script, Series Composition'], ['Okamoto, Nobuhiko', 'Theme Song Performance']]
