animeTitle	Norimono Oukoku BuBu ChaCha
animeType	TV
animeNumEpisode	26
releaseDate	1999-04-29 00:00:00
endDate	1999-11-25 00:00:00
animeNumMembers	
animeScore	6.69
animeUsers	247
animeRank	
animePopularity	12041
animeDescription	Bubu Chacha is about a dog who died due to a fateful accident and was resurrected as a toy car. Together, he and Randy learn many new things about the world and about friendship that never dies.
animeRelated	['Daisuki! BuBu ChaCha']
animeCharacters	['Rand, Randy', 'Chacha', 'Rand, Forest']
animeVoices	[]
animeStaff	[['Satou, Takuya', 'Storyboard'], ['Amino, Tetsuro', 'Storyboard'], ['Fukuda, Noriyuki', 'Key Animation'], ['Tsuno, Gouji', 'Music']]
