animeTitle	Aria the Benedizione
animeType	Unknown
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	8964
animeDescription	The third and final installment in the Ao no Curtain Call (Blue Curtain Call) trilogy.
animeRelated	['Aria the Crepuscolo']
animeCharacters	['Mizunashi, Akari', 'Carroll, Alice', 'Florence, Alicia', 'Granzchesta, Aika S.', 'Glory, Athena', 'Ferrari, Akira E.', 'Pokoteng, Aria', 'Aino, Ai', 'Izumo, Akatsuki', 'Ametsuchi, Akino']
animeVoices	['Hazuki, Erino', 'Hirohashi, Ryou', 'Ohara, Sayaka', 'Saitou, Chiwa', 'Satou, Rina', 'Minagawa, Junko', 'Nishimura, Chinami', 'Mizuhashi, Kaori', 'Nojima, Hirofumi']
animeStaff	[['Satou, Junichi', 'Director, Screenplay'], ['Natori, Takahiro', 'Director'], ['Makino, Yui', 'Theme Song Performance'], ['Amano, Kozue', 'Original Creator']]
