animeTitle	Namu Amida Butsu!: Rendai Utena
animeType	TV
animeNumEpisode	12
releaseDate	2019-04-08 00:00:00
endDate	2019-06-24 00:00:00
animeNumMembers	
animeScore	6.06
animeUsers	2443
animeRank	
animePopularity	4764
animeDescription	"Long before superheroes, there were legends. One of them begins with Shaka Nyorai, whose bravery and enlightenment once saved humanity forever. But forever is fleeting because Mara, the personification of Earthly desires, forges a corrupt coalition with the devil to again visit wrath and vengeance upon humankind. To counter Mara's cruel attack, Taishakuten and Bonten, divine beings, must join forces with the Thirteen Buddhas. Can the allied powers of light defeat the vicious onslaught and save humankind in their darkest hour?

(Source: sentai filmworks)"
animeRelated	['Namu Amida Butsu!']
animeCharacters	['Bonten', 'Nyorai, Shaka', 'Nyorai, Dainichi', 'Taishakuten', 'Ashura', 'Bosatsu, Miroku', 'Myouou, Fudou', 'Bosatsu, Fugen', 'Nyorai, Amida', 'Nyorai, Ashuku']
animeVoices	['Maeno, Tomoaki', 'Morikubo, Shoutarou', 'Kakihara, Tetsuya', 'Mizunaka, Masaaki', 'Suzuki, Tatsuhisa', 'Murase, Ayumu', 'Kawanishi, Kengo', 'Horie, Shun', 'Hirakawa, Daisuke', 'Kobayashi, Yuusuke']
animeStaff	[['Oguro, Akira', 'Director'], ['Miyamoto, Takeshi', 'Script'], ['Mizunaka, Masaaki', 'Theme Song Performance'], ['Fujisawa, Yoshiaki', 'Music']]
