animeTitle	b'Katsudou Shashin'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.47
animeUsers	3540
animeRank	
animePopularity	
animeDescription	"b'A young boy dressed in sailor attire and a bright red cap is shown to write the Japanese kanji characters translating to the phrase ""moving picture."" As he completes writing the phrase, he faces toward the viewer and bows.\n\n[Written by MAL Rewrite]'"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
