animeTitle	Idol Densetsu Eriko
animeType	TV
animeNumEpisode	51
releaseDate	1989-04-03 00:00:00
endDate	1990-03-26 00:00:00
animeNumMembers	
animeScore	6.85
animeUsers	1247
animeRank	
animePopularity	7269
animeDescription	"Eriko Tamura is Kousuke Tamura, the chairman of Tamura Productions (reknown music company) and Minako Tamura's (former famous idol singer) only daughter. Having talent for singing since birth, she has always loved her parent's media world. Then one day tragedy strikes when her parents get into a horrible car accident, which kills her father and leaves her mother in coma. She is left in her father's best friend, Mr. Uchida's care. Now Eriko must take the path of singing, a path her parents did not want her to pursue. Then her uncle is out to destroy her career. But in spite of all the hardship, she becomes an idol and wins hearts all over Japan.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Asagiri, Rei', 'Tamura, Eriko', 'Agi, Shougo', 'Tamura, Minako', 'Tamura, Yuusuke']
animeVoices	['Matsui, Naoko', 'Yajima, Akiko', 'Matsumoto, Yasunori']
animeStaff	[['Amino, Tetsuro', 'Director'], ['Tanaka, Hideyuki', 'Sound Director'], ['Yonetani, Yoshitomo', 'Episode Director, Storyboard'], ['Inoue, Osamu', 'Episode Director']]
