animeTitle	b'Oneechan ga Kita'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.35
animeUsers	52765
animeRank	
animePopularity	
animeDescription	"b""The story revolves around Tomoya Mizuhara, a 13-year-old boy who suddenly gains a big sister when his father remarries. 17-year-old Ichika is a little strange, and her affection for Tomoya is rather overwhelming, if not scary. On top of things, Ichika's friend Ruri is the ultimate sadist. Then there is Ichika's big-breasted quarter-Japanese friend Marina.\n\n(Source: ANN)"""
animeRelated	[b'Oneechan ga Kita', b'Oneechan ga Kita: Hajimete no\xe2\x80\xa6 Kitaa!']
animeCharacters	[b'Mizuhara, Ichika', b'Mizuhara, Tomoya', b'Mochizuki, Marina', b'Fujisaki, Mina', b'Yoshiko', b'Hayasaka, Ruri', b'Hanazono, Mitsuru', b'Hayasaka, Kouki', b'Utako', b'Eiko']
animeVoices	[b'\nNagatsuma, Juri\nJapanese\n', b'\nTerakawa, Aimi\nJapanese\n', b'\nInoue, Marina\nJapanese\n', b'\nKido, Ibuki\nJapanese\n', b'\nMomono, Haruna\nJapanese\n', b'\nMinami, Omi\nJapanese\n', b'\nKobayashi, Yuu\nJapanese\n', b'\nTogashi, Misuzu\nJapanese\n', b'\nTomaru, Chiyo\nJapanese\n', b'\nUdono, Mayu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYuuzumi, Yoshihide\n\nDirector\n\n', b'\nMorishita, Hiroto\n\nSound Director\n\n', b'\nAkamatsu, Yasuhiro\n\nEpisode Director\n\n', b'\nTogashi, Misuzu\n\nTheme Song Performance\n\n']
