animeTitle	Nanocore
animeType	ONA
animeNumEpisode	10
releaseDate	2014-02-14 00:00:00
endDate	2015-07-31 00:00:00
animeNumMembers	822
animeScore	6.18
animeUsers	158
animeRank	7786
animePopularity	11641
animeDescription	"Nanocore is a science fiction Chinese cartoon in 3D. The stage of the story is established on a fictional planet Birthigin. In this young planet, humanity will never stop longing for a bright future despite reason and fear. In revolutions and evolutions, humanity keeps challenging the Creator, and which eventually induces contractions intensified. People choose to wake up and struggle for their own ideals. They end the peace and angers sweep the whole planet, resulting in outbreak of the crisis known as Purple Fog.

In time of humans facing their odds of survival, the plan N.S.P led by the elite keeps frustrating until NanoCore's involving. It brings the plan his birth. As the existence, that the elite thinks should lead the development of human weapons, however, he breaks shackles of fate, and arrives at a land where faith no longer exists.

He learns to make choices and grows up with them, and the dim future of Birthigin thus begins to change.

(Source: Nanocore Tumblr)"
animeRelated	"['Nanocore 2nd Season', 'Nanocore 2016 Xinnian Tebie Ban', ""Nanocore: NG Scenes - Nano's Daily Life"", 'Nanocore SP Lianxi Pian 2015 Xinnian Tebie Ban']"
animeCharacters	['Adas, Ray', 'Fentis, Miya', 'Suixin, Bing', 'Fentis, Nova', 'Adas, Heyar', 'Atlantis, Greada', 'Lozo', 'Lage, Torris']
animeVoices	[]
animeStaff	[]
