animeTitle	b'Black Gate: Kanin no Gakuen'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.86
animeUsers	1775
animeRank	
animePopularity	
animeDescription	"b""Narifumi Hosokawa prepares for his high school's culture festival with the Kadomori twins, Shizuku and Kasumi. While everyone is distracted, Shizuku decides to open a mysterious gate through the use of magic and travel to an alternate world. She has broken the oath of her family's heritage, as to protect the Black Gate from those who seek the enormous power that lies within the world. The remaining defenders of the Black Gate, consisting of female students and a female teacher, must travel through to the other side and return before any distruptions come to either dimension. However, Narifumi accompanies the group and Shizuku is waiting for them with some new allies. \n\n(Source: ANN)"""
animeRelated	[]
animeCharacters	[b'Hosokawa, Narifumi', b'Kadomori, Shizuku', b'Kadomori, Kasumi', b'Sora', b'Izumi, Amane', b'Fujisaki, Miharu', b'Komiyama, Mizuki', b'Katsuragi, Fuu', b'Ebizuka, Nanami', b'Hasegawa, Koyuki']
animeVoices	[b'\nSagami, Makoto\nJapanese\n', b'\nYamakawa, Kotomi\nJapanese\n', b'\nIshimatsu, Chiemi\nJapanese\n', b'\nUchino, Pochi\nJapanese\n', b'\nHikari\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMitose, Noriko\n\nTheme Song Performance, Theme Song Lyrics, Theme Song Composition\n\n', b'\nYoshiten\n\nCharacter Design, Original Character Design\n\n', b'\nAwai, Shigeki\n\nAnimation Director\n\n', b'\nMiyamae, Mitsuharu\n\nBackground Art\n\n']
