animeTitle	Shiokari Touge
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16990
animeDescription	"Based on Miura Ayako's literary work.

Tells the story of Nagano Nobuo from his childhood in Tokyo, through a gradual journey of self-discovery and acceptance of the Christian faith, to his death in Shiokari Pass in Hokkaido.

(Source: Jclglobal)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
