animeTitle	Mobile Fighter G Gundam
animeType	TV
animeNumEpisode	49
releaseDate	1994-04-01 00:00:00
endDate	1995-03-31 00:00:00
animeNumMembers	
animeScore	7.56
animeUsers	31494
animeRank	
animePopularity	2259
animeDescription	"In the year Future Century 0060, the many countries that once comprised Earth's surface exist as separate colonies floating in space. Their home planet now uninhabitable, the ruler of all of the colonies is decided by their unanimous participation in the intergalactic Gundam Fight Tournament—a series of battles between the champions of each colony to determine who is most fit to reign over them all.

Neo-Japan's champion is Domon Kasshu, a man who accepts the role with some ulterior motives. Domon searches the galaxy for his brother, a criminal who allegedly murdered their mother and made off with the Devil Gundam, a highly advanced weapon with the power to unleash mass destruction across the galaxy. In his quest to bring his sibling to justice, Domon travels from colony to colony, meeting many of the fighters who will become his allies and enemies in the forthcoming Gundam Fight Tournament.

Armed with the strength of the Shining Gundam, Domon battles to uncover the truth behind his tortured childhood, suffering great betrayal and crushing blows on his quest toward personal and national triumph.

[Written by MAL Rewrite]"
animeRelated	['Kidou Butouden G Gundam', 'Choukyuu! Kidou Butouden G Gundam', 'Mobile Suit Gundam']
animeCharacters	['Kasshu, Domon', 'Mikamura, Rain', 'Master Asia', 'Beardsley, Allenby', 'Bruder, Schwarz', 'Crocket, Chibodee', 'de Sand, George', 'Saici, Sai', 'Gulskii, Argo', 'Kasshu, Kyouji']
animeVoices	['Seki, Tomokazu', 'Amano, Yuri', 'Akimoto, Yousuke', 'Hidaka, Narumi', 'Hori, Hideyuki', 'Ootsuka, Houchuu', 'Yamazaki, Takumi', 'Yamaguchi, Kappei', 'Ugaki, Hidenari']
animeStaff	[['Yatate, Hajime', 'Producer, Original Creator'], ['Minami, Masahiko', 'Producer'], ['Ueda, Masuo', 'Producer'], ['Imagawa, Yasuhiro', 'Director, Episode Director, Storyboard']]
