animeTitle	Un-Go: Inga-ron
animeType	Movie
animeNumEpisode	1
releaseDate	2011-11-19 00:00:00
endDate	
animeNumMembers	
animeScore	7.58
animeUsers	17739
animeRank	
animePopularity	3038
animeDescription	Prequel film of UN-GO telling the encounter of Shinjuurou and Inga.
animeRelated	['Un-Go: Inga-ron', 'Un-Go']
animeCharacters	['Inga', 'Yuuki, Shinjuurou', 'Kaishou, Rie', 'Kaishou, Rinroku', 'Koyama, Izumi', 'Bettenou', 'Serada, Makirou', 'Hayami, Seigen', 'Oono, Myoushin', 'Kurata, Yuuko']
animeVoices	['Toyosaki, Aki', 'Katsuji, Ryou', 'Yamamoto, Nozomi', 'Miki, Shinichiro', 'Honda, Takako', 'Kawashima, Tokuyoshi', 'Irino, Miyu', 'Tomatsu, Haruka']
animeStaff	[['Mizushima, Seiji', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Kanegae, Tooru', 'Sound Director'], ['Asai, Yoshiyuki', 'Episode Director']]
